"PersonNumber","FirstName","LastName","GenderAsString","ParlGroupName","PartyName","PartyAbbreviation","DateJoining","DateLeaving","DateElection","DateOath","DateResignation","DateOfBirth","DateOfDeath"
1221,"Robert","Moser","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1975-12-01T00:00:00","1979-11-25T00:00:00","1975-10-26T00:00:00","1975-12-01T00:00:00","1979-11-25T00:00:00","1922-03-03T00:00:00","2005-08-15T00:00:00"
1222,"Erwin","Muff","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1971-11-29T00:00:00","1981-12-01T00:00:00","1971-11-29T00:00:00","1971-11-29T00:00:00","1981-12-01T00:00:00","1935-06-01T00:00:00","2019-06-27T00:00:00"
1223,"Roger","Mugny","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1967-02-27T00:00:00","1979-11-25T00:00:00","1963-10-27T00:00:00","1967-02-27T00:00:00","1979-11-25T00:00:00","1921-12-26T00:00:00","2008-11-18T00:00:00"
1224,"Andreas","Müller","m","Groupe AdI/PEP","Alliance des Indépendants","AdI","1979-11-26T00:00:00","1990-10-01T00:00:00","1979-10-21T00:00:00","1979-11-26T00:00:00","1990-10-01T00:00:00","1934-02-12T00:00:00",
1225,"Wilfried","Naegeli","m","Groupe républicain et national","Démocrates Suisses","DS","1971-11-29T00:00:00","1975-11-30T00:00:00","1971-11-29T00:00:00","1971-11-29T00:00:00","1975-11-30T00:00:00","1932-02-14T00:00:00",
1226,"Gabrielle","Nanchen","f","Groupe socialiste","Parti socialiste suisse","PSS","1971-11-29T00:00:00","1979-11-25T00:00:00","1971-11-29T00:00:00","1971-11-29T00:00:00","1979-11-25T00:00:00","1943-03-31T00:00:00",
1227,"Gian Mario","Pagani","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1972-11-27T00:00:00","1979-11-25T00:00:00","1972-11-27T00:00:00","1972-11-27T00:00:00","1979-11-25T00:00:00","1933-06-30T00:00:00",
1228,"Maurice","Péquignot","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1967-12-04T00:00:00","1979-11-25T00:00:00","1967-12-04T00:00:00","1967-12-04T00:00:00","1979-11-25T00:00:00","1918-06-12T00:00:00","2013-03-04T00:00:00"
1229,"Charles","Primborgne","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1955-12-05T00:00:00","1975-11-30T00:00:00","1955-10-30T00:00:00","1955-12-05T00:00:00","1975-11-30T00:00:00","1913-04-30T00:00:00","2010-02-18T00:00:00"
1230,"Yann","Richter","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1971-11-29T00:00:00","1979-11-25T00:00:00","1971-10-31T00:00:00","1971-11-29T00:00:00","1979-11-25T00:00:00","1928-04-25T00:00:00","2008-07-20T00:00:00"
1231,"Hanna","Sahlfeld-Singer","f","Groupe socialiste","Parti socialiste suisse","PSS","1971-12-13T00:00:00","1975-12-31T00:00:00","1971-12-13T00:00:00","1971-12-13T00:00:00","1975-12-31T00:00:00","1943-10-17T00:00:00",
1232,"André","Sandoz","m","Groupe socialiste","Parti socialiste suisse","PSS","1963-12-02T00:00:00","1971-11-28T00:00:00","1963-10-27T00:00:00","1963-12-02T00:00:00","1971-11-28T00:00:00","1911-09-18T00:00:00","2006-05-16T00:00:00"
1233,"Hans","Rutschmann","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1947-07-04T00:00:00",
1234,"Willy","Sauser","m","Groupe libéral et évangélique","Parti évangélique suisse","PEV","1956-03-19T00:00:00","1978-01-19T00:00:00","1955-10-30T00:00:00","1956-03-19T00:00:00","1978-01-19T00:00:00","1908-09-15T00:00:00","2005-06-26T00:00:00"
1235,"Emil","Schaffer","m","Groupe socialiste","Parti socialiste suisse","PSS","1962-06-04T00:00:00","1979-01-25T00:00:00","1959-10-25T00:00:00","1962-06-04T00:00:00","1979-01-25T00:00:00","1924-02-03T00:00:00","2010-07-22T00:00:00"
1236,"Hans","Schaffner","m",,"PLR.Les Libéraux-Radicaux","PLR","1966-01-01T00:00:00","1966-12-31T00:00:00","1961-06-15T00:00:00","1966-01-01T00:00:00","1966-12-31T00:00:00","1908-12-16T00:00:00","2004-11-26T00:00:00"
1237,"Meinrad","Schär","m","Groupe AdI/PEP","Alliance des Indépendants","AdI","1979-11-26T00:00:00","1982-11-01T00:00:00","1975-10-26T00:00:00","1975-12-01T00:00:00","1982-11-01T00:00:00","1921-07-15T00:00:00","2007-11-09T00:00:00"
1238,"Leon","Schlumpf","m",,"Union Démocratique du Centre","UDC","1984-01-01T00:00:00","1984-12-31T00:00:00","1979-12-05T00:00:00","1984-01-01T00:00:00","1984-12-31T00:00:00","1925-02-03T00:00:00","2012-07-07T00:00:00"
1239,"Arthur","Schmid","m","Groupe socialiste","Parti socialiste suisse","PSS","1959-12-07T00:00:00","1979-11-25T00:00:00","1959-12-07T00:00:00","1959-12-07T00:00:00","1979-11-25T00:00:00","1928-01-25T00:00:00","2023-05-01T00:00:00"
1240,"Heinrich","Schnyder","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1971-11-29T00:00:00","1987-11-29T00:00:00","1971-11-29T00:00:00","1971-11-29T00:00:00","1987-11-29T00:00:00","1927-11-21T00:00:00","2014-10-20T00:00:00"
1241,"Karl","Schnyder","m","Groupe socialiste","Parti socialiste suisse","PSS","1975-12-01T00:00:00","1978-04-21T00:00:00","1975-12-01T00:00:00","1975-12-01T00:00:00","1978-04-21T00:00:00","1931-08-23T00:00:00","2016-04-29T00:00:00"
1242,"Jakob","Schutz","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1975-12-01T00:00:00","1979-11-25T00:00:00","1975-12-01T00:00:00","1975-12-01T00:00:00","1979-11-25T00:00:00","1918-03-08T00:00:00","2013-09-27T00:00:00"
1243,"Albert","Sigrist","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1975-12-01T00:00:00","1979-06-01T00:00:00","1975-10-26T00:00:00","1975-12-01T00:00:00","1979-06-01T00:00:00","1923-04-09T00:00:00","2005-03-19T00:00:00"
1244,"Hans","Stadelmann","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1971-11-29T00:00:00","1975-11-30T00:00:00","1971-10-31T00:00:00","1971-11-29T00:00:00","1975-11-30T00:00:00","1918-02-03T00:00:00","2011-03-27T00:00:00"
1245,"Anton","Stadler","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1967-06-05T00:00:00","1975-11-30T00:00:00","1963-10-27T00:00:00","1967-06-05T00:00:00","1975-11-30T00:00:00","1920-06-28T00:00:00","2016-07-03T00:00:00"
1247,"Roland","Stähli","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1975-12-01T00:00:00","1979-11-25T00:00:00","1975-10-26T00:00:00","1975-12-01T00:00:00","1979-11-25T00:00:00","1917-09-13T00:00:00","2010-08-28T00:00:00"
1248,"Rudolf","Suter","m","Groupe AdI/PEP","Alliance des Indépendants","AdI","1963-12-02T00:00:00","1979-11-25T00:00:00","1963-10-27T00:00:00","1963-12-02T00:00:00","1979-11-25T00:00:00","1914-03-18T00:00:00","2011-03-07T00:00:00"
1249,"Ettore","Tenchio","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1947-12-01T00:00:00","1971-11-28T00:00:00","1947-12-01T00:00:00","1947-12-01T00:00:00","1971-11-28T00:00:00","1915-10-21T00:00:00","2015-04-27T00:00:00"
1250,"Karl","Trottmann","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1963-12-02T00:00:00","1979-11-25T00:00:00","1963-10-27T00:00:00","1963-12-02T00:00:00","1979-11-25T00:00:00","1915-09-25T00:00:00","2007-06-01T00:00:00"
1251,"Ursula","Ulrich-Vögtlin","f","Groupe socialiste","Parti socialiste suisse","PSS","1987-11-30T00:00:00","1991-11-24T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1991-11-24T00:00:00","1947-06-13T00:00:00",
1252,"Gion Clau","Vincenz","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1968-06-04T00:00:00","1979-06-01T00:00:00","1968-06-04T00:00:00","1968-06-04T00:00:00","1979-06-01T00:00:00","1921-04-06T00:00:00","2014-10-28T00:00:00"
1253,"Alfred","Weber","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1963-12-02T00:00:00","1979-11-25T00:00:00","1963-12-02T00:00:00","1963-12-02T00:00:00","1979-11-25T00:00:00","1923-11-19T00:00:00","2015-03-26T00:00:00"
1254,"Nelly","Wicky","f","Groupe du PdT, PSA, POCH","Parti Suisse du travail","PdT","1971-11-29T00:00:00","1975-11-30T00:00:00","1971-11-29T00:00:00","1971-11-29T00:00:00","1975-11-30T00:00:00","1923-03-02T00:00:00","2020-01-27T00:00:00"
1255,"Hans","Wyer","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1967-12-04T00:00:00","1977-04-30T00:00:00","1967-10-29T00:00:00","1967-12-04T00:00:00","1977-04-30T00:00:00","1927-01-07T00:00:00","2012-01-30T00:00:00"
1256,"Hans","Altherr","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2011-12-05T00:00:00","2015-11-29T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2015-11-29T00:00:00","1950-04-29T00:00:00",
1257,"François","Couchepin","m",,,,"1991-12-04T00:00:00","1999-12-14T00:00:00","1991-12-04T00:00:00","1991-12-04T00:00:00","1999-12-14T00:00:00","1935-01-19T00:00:00",
1267,"Hans","Stöckli","m","Groupe socialiste","Parti socialiste suisse","PSS","2019-12-02T00:00:00",,"2019-11-17T00:00:00","2019-12-02T00:00:00",,"1952-04-12T00:00:00",
1272,"Jean-François","de Bourgknecht","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1972-11-27T00:00:00","1979-11-01T00:00:00","1972-11-05T00:00:00","1972-11-27T00:00:00","1979-11-01T00:00:00","1934-12-20T00:00:00","2023-01-23T00:00:00"
1273,"Andreas","Blum","m","Groupe socialiste","Parti socialiste suisse","PSS","1975-12-01T00:00:00","1979-03-01T00:00:00","1975-12-01T00:00:00","1975-12-01T00:00:00","1979-03-01T00:00:00","1938-02-21T00:00:00",
1279,"Roger","Nordmann","m","Groupe socialiste","Parti socialiste suisse","PSS","2019-12-02T00:00:00",,"2019-10-20T00:00:00","2019-12-02T00:00:00",,"1973-03-23T00:00:00",
1288,"Viola","Amherd","f",,"Le Centre","M-E","2023-01-01T00:00:00",,"2018-12-05T00:00:00","2023-01-01T00:00:00",,"1962-06-07T00:00:00",
1289,"Luc","Barthassat","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","2011-12-05T00:00:00","2013-12-05T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2013-12-05T00:00:00","1960-09-03T00:00:00",
1293,"Francine","John-Calame","f","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","2011-12-05T00:00:00","2015-11-29T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2015-11-29T00:00:00","1954-04-30T00:00:00",
1294,"Lieni","Füglistaller","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1951-12-31T00:00:00",
1295,"Edith","Graf-Litscher","f","Groupe socialiste","Parti socialiste suisse","PSS","2019-12-02T00:00:00",,"2019-10-20T00:00:00","2019-12-02T00:00:00",,"1964-03-25T00:00:00",
1310,"Corina","Casanova","f",,"Parti démocrate-chrétien suisse","PDC","2008-01-01T00:00:00","2015-12-31T00:00:00","2005-04-27T00:00:00","2008-01-01T00:00:00","2015-12-31T00:00:00","1956-01-04T00:00:00",
1314,"Pierre","Bonhôte","m","Groupe socialiste","Parti socialiste suisse","PSS","2005-12-05T00:00:00","2007-12-02T00:00:00","2005-11-20T00:00:00","2005-12-05T00:00:00","2007-12-02T00:00:00","1965-06-17T00:00:00","2016-05-11T00:00:00"
1318,"Louis","Schelbert","m","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","2015-11-30T00:00:00","2018-03-10T00:00:00","2015-10-18T00:00:00","2015-11-30T00:00:00","2018-03-10T00:00:00","1952-10-31T00:00:00",
1321,"Urs","Bernhardsgrütter","m","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","2006-06-06T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2006-06-06T00:00:00","2007-12-02T00:00:00","1962-07-28T00:00:00",
1336,"Markus","Zemp","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1954-06-25T00:00:00",
1337,"Ida","Glanzmann-Hunkeler","f","Le Groupe du Centre. Le Centre. PEV.","Le Centre","M-E","2019-12-02T00:00:00",,"2019-10-20T00:00:00","2019-12-02T00:00:00",,"1958-09-29T00:00:00",
1338,"Andreas","Zeller","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2006-09-18T00:00:00","2007-12-02T00:00:00","2006-09-18T00:00:00","2006-09-18T00:00:00","2007-12-02T00:00:00","1948-10-09T00:00:00",
1343,"Urs","Hany","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1955-10-01T00:00:00",
1344,"Urs","Schweizer","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2006-12-11T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2006-12-11T00:00:00","2007-12-02T00:00:00","1952-06-27T00:00:00",
1345,"Thomas","Müller","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2015-11-30T00:00:00","2019-12-01T00:00:00","2015-10-18T00:00:00","2015-11-30T00:00:00","2019-12-01T00:00:00","1952-12-01T00:00:00",
1346,"Isabelle","Moret","f","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2019-12-02T00:00:00","2022-06-09T00:00:00","2019-10-20T00:00:00","2019-12-02T00:00:00","2022-06-09T00:00:00","1970-12-30T00:00:00",
1352,"Jürg","Michel","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2007-03-05T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2007-03-05T00:00:00","2007-12-02T00:00:00","1955-09-28T00:00:00",
1353,"Giuseppe","a Marca","m","Centre","Parti démocrate-chrétien suisse","PDC","1849-12-01T00:00:00","1851-07-01T00:00:00","1849-12-01T00:00:00","1849-12-01T00:00:00","1851-07-01T00:00:00","1799-07-29T00:00:00","1866-07-16T00:00:00"
1354,"Alois","Ab Yberg","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1928-12-03T00:00:00","1935-12-01T00:00:00","1928-12-03T00:00:00","1928-12-03T00:00:00","1935-12-01T00:00:00","1878-10-06T00:00:00","1959-10-17T00:00:00"
1355,"Alfred","Abegg","m","Groupe socialiste","Parti socialiste suisse","PSS","1963-12-02T00:00:00","1971-11-28T00:00:00","1963-12-02T00:00:00","1963-12-02T00:00:00","1971-11-28T00:00:00","1914-11-18T00:00:00","1998-08-13T00:00:00"
1356,"Johann Jakob","Abegg","m","Groupe libéral démocrate","Libéral","Lib*","1887-12-05T00:00:00","1912-02-17T00:00:00","1887-12-05T00:00:00","1887-12-05T00:00:00","1912-02-17T00:00:00","1834-07-23T00:00:00","1912-02-17T00:00:00"
1357,"H. Roman","Abt","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1932-12-06T00:00:00","1942-03-27T00:00:00","1919-01-01T00:00:00","1919-01-01T00:00:00","1942-03-27T00:00:00","1883-01-15T00:00:00","1942-03-27T00:00:00"
1358,"Heinrich E.","Abt","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1911-12-04T00:00:00","1919-11-01T00:00:00","1911-12-04T00:00:00","1911-12-04T00:00:00","1919-11-01T00:00:00","1854-06-22T00:00:00","1937-11-15T00:00:00"
1359,"Alfred","Ackermann","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1953-09-14T00:00:00","1970-06-01T00:00:00","1953-09-14T00:00:00","1953-09-14T00:00:00","1970-06-01T00:00:00","1907-04-02T00:00:00","1997-12-12T00:00:00"
1360,"Joseph","Ackermann","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1947-12-01T00:00:00","1951-12-02T00:00:00","1947-12-01T00:00:00","1947-12-01T00:00:00","1951-12-02T00:00:00","1901-02-16T00:00:00","1987-05-04T00:00:00"
1361,"Walter","Ackermann","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1947-12-01T00:00:00","1963-12-01T00:00:00","1935-12-02T00:00:00","1935-12-02T00:00:00","1963-12-01T00:00:00","1890-11-15T00:00:00","1969-01-31T00:00:00"
1362,"Peter","Acklin","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1863-12-07T00:00:00","1866-12-02T00:00:00","1863-12-07T00:00:00","1863-12-07T00:00:00","1866-12-02T00:00:00","1821-02-21T00:00:00","1879-12-02T00:00:00"
1363,"Jakob Josef","Adam","m","Gauche","PLR.Les Libéraux-Radicaux","PLR","1863-12-07T00:00:00","1868-06-01T00:00:00","1863-12-07T00:00:00","1863-12-07T00:00:00","1868-06-01T00:00:00","1828-02-12T00:00:00","1888-01-21T00:00:00"
1364,"Jules-Henri","Addor","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1943-12-06T00:00:00","1947-11-30T00:00:00","1943-12-06T00:00:00","1943-12-06T00:00:00","1947-11-30T00:00:00","1894-09-21T00:00:00","1953-12-17T00:00:00"
1365,"Gustave","Ador","m",,"Parti libéral démocrate","PLD","1919-01-01T00:00:00","1919-12-31T00:00:00","1917-06-26T00:00:00","1919-01-01T00:00:00","1919-12-31T00:00:00","1845-12-23T00:00:00","1928-03-31T00:00:00"
1366,"Ernst","Aebersold","m","Groupe socialiste","Parti socialiste suisse","PSS","1947-12-01T00:00:00","1958-11-23T00:00:00","1947-12-01T00:00:00","1947-12-01T00:00:00","1958-11-23T00:00:00","1887-03-29T00:00:00","1958-11-23T00:00:00"
1367,"Paul","Aebischer","m","Groupe démocrate et évangélique","Parti évangélique suisse","PEV","1967-12-04T00:00:00","1971-02-27T00:00:00","1967-12-04T00:00:00","1967-12-04T00:00:00","1971-02-27T00:00:00","1908-11-02T00:00:00","1971-02-27T00:00:00"
1368,"Paul","Aeby","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1883-06-18T00:00:00","1898-07-18T00:00:00","1883-06-18T00:00:00","1883-06-18T00:00:00","1898-07-18T00:00:00","1841-11-13T00:00:00","1898-07-18T00:00:00"
1369,"Pierre","Aeby","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1945-12-04T00:00:00","1947-11-30T00:00:00","1931-12-01T00:00:00","1931-12-01T00:00:00","1947-11-30T00:00:00","1884-05-06T00:00:00","1957-02-04T00:00:00"
1370,"A. Otto","Aepli","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1919-01-27T00:00:00","1921-11-04T00:00:00","1919-01-27T00:00:00","1919-01-27T00:00:00","1921-11-04T00:00:00","1870-04-18T00:00:00","1921-11-04T00:00:00"
1371,"Arnold Otto","Aepli","m","Centre","Libéral","Lib*","1877-03-29T00:00:00","1883-05-01T00:00:00","1872-12-02T00:00:00","1872-12-02T00:00:00","1883-05-01T00:00:00","1816-08-22T00:00:00","1897-12-04T00:00:00"
1372,"Adolf","Aeschbach","m","Groupe socialiste","Parti socialiste suisse","PSS","1943-12-06T00:00:00","1959-12-06T00:00:00","1943-12-06T00:00:00","1943-12-06T00:00:00","1959-12-06T00:00:00","1888-10-08T00:00:00","1969-03-19T00:00:00"
1373,"Ferdinand","Aeschbacher","m","Groupe socialiste","Parti socialiste suisse","PSS","1939-12-04T00:00:00","1940-12-01T00:00:00","1939-12-04T00:00:00","1939-12-04T00:00:00","1940-12-01T00:00:00","1893-11-11T00:00:00","1950-01-07T00:00:00"
1374,"Amanz Kaspar","Affolter","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1856-07-07T00:00:00","1861-09-28T00:00:00","1856-07-07T00:00:00","1856-07-07T00:00:00","1861-09-28T00:00:00","1825-06-10T00:00:00","1861-09-28T00:00:00"
1375,"Hans","Affolter","m","Groupe socialiste","Parti socialiste suisse","PSS","1911-12-04T00:00:00","1930-12-11T00:00:00","1911-12-04T00:00:00","1911-12-04T00:00:00","1930-12-11T00:00:00","1870-10-02T00:00:00","1936-09-28T00:00:00"
1376,"Emilio","Agostinetti","m","Groupe socialiste","Parti socialiste suisse","PSS","1947-12-01T00:00:00","1966-12-01T00:00:00","1947-12-01T00:00:00","1947-12-01T00:00:00","1966-12-01T00:00:00","1912-02-27T00:00:00","1983-08-04T00:00:00"
1377,"Mario","Agustoni","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1963-12-02T00:00:00","1965-02-08T00:00:00","1963-12-02T00:00:00","1963-12-02T00:00:00","1965-02-08T00:00:00","1902-01-03T00:00:00","1982-10-28T00:00:00"
1378,"Giovanni","Airoldi","m","Centre","Partito dei Popolini poi Fusionisti","PdP->Fusio","1869-07-05T00:00:00","1874-01-01T00:00:00","1869-07-05T00:00:00","1869-07-05T00:00:00","1874-01-01T00:00:00","1823-01-23T00:00:00","1894-08-03T00:00:00"
1379,"August","Albrecht","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1967-12-04T00:00:00","1979-11-25T00:00:00","1967-12-04T00:00:00","1967-12-04T00:00:00","1979-11-25T00:00:00","1907-11-16T00:00:00","1988-04-12T00:00:00"
1380,"H. Jakob","Albrecht","m","Centre","Libéral","Lib*","1873-01-01T00:00:00","1874-11-01T00:00:00","1873-01-01T00:00:00","1873-01-01T00:00:00","1874-11-01T00:00:00","1825-09-17T00:00:00","1876-06-25T00:00:00"
1381,"Hans","Albrecht","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1952-06-03T00:00:00","1959-12-06T00:00:00","1952-06-03T00:00:00","1952-06-03T00:00:00","1959-12-06T00:00:00","1909-10-02T00:00:00","1995-10-20T00:00:00"
1382,"Jakob","Albrecht","m","Gauche","Libéral","Lib*","1851-12-01T00:00:00","1855-06-01T00:00:00","1851-12-01T00:00:00","1851-12-01T00:00:00","1855-06-01T00:00:00","1806-02-24T00:00:00","1855-07-08T00:00:00"
1383,"Luigi","Albrecht","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1943-12-06T00:00:00","1955-01-24T00:00:00","1943-12-06T00:00:00","1943-12-06T00:00:00","1955-01-24T00:00:00","1889-10-24T00:00:00","1955-01-24T00:00:00"
1384,"Prospero","Albrici","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1873-07-07T00:00:00","1874-07-01T00:00:00","1873-07-07T00:00:00","1873-07-07T00:00:00","1874-07-01T00:00:00","1822-03-18T00:00:00","1883-12-14T00:00:00"
1385,"Werner","Allemann","m","Groupe socialiste","Parti socialiste suisse","PSS","1944-09-18T00:00:00","1963-12-01T00:00:00","1944-09-18T00:00:00","1944-09-18T00:00:00","1963-12-01T00:00:00","1902-07-25T00:00:00","1972-08-23T00:00:00"
1386,"Alexis","Allet","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1851-12-01T00:00:00","1872-12-01T00:00:00","1851-12-01T00:00:00","1851-12-01T00:00:00","1872-12-01T00:00:00","1820-04-09T00:00:00","1888-02-01T00:00:00"
1387,"Walter","Allgöwer","m","Groupe AdI/PEP","Alliance des Indépendants","AdI","1963-12-02T00:00:00","1979-11-25T00:00:00","1963-12-02T00:00:00","1963-12-02T00:00:00","1979-11-25T00:00:00","1912-08-18T00:00:00","1980-04-16T00:00:00"
1388,"Werner","Allgöwer","m","Groupe socialiste","Parti socialiste suisse","PSS","1950-06-05T00:00:00","1955-12-04T00:00:00","1950-06-05T00:00:00","1950-06-05T00:00:00","1955-12-04T00:00:00","1879-03-24T00:00:00","1966-02-21T00:00:00"
1389,"Alexandre Félix","Alméras","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1860-01-09T00:00:00","1862-12-01T00:00:00","1860-01-09T00:00:00","1860-01-09T00:00:00","1862-12-01T00:00:00","1811-01-29T00:00:00","1868-12-11T00:00:00"
1390,"Gustav","Altherr","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1931-06-01T00:00:00","1935-12-01T00:00:00","1931-06-01T00:00:00","1931-06-01T00:00:00","1935-12-01T00:00:00","1870-08-28T00:00:00","1954-07-18T00:00:00"
1391,"Hermann","Altherr","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1905-06-05T00:00:00","1911-12-03T00:00:00","1905-06-05T00:00:00","1905-06-05T00:00:00","1911-12-03T00:00:00","1848-02-28T00:00:00","1927-11-04T00:00:00"
1392,"Johannes","Altwegg","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1880-11-29T00:00:00","1888-11-17T00:00:00","1880-11-29T00:00:00","1880-11-29T00:00:00","1888-11-17T00:00:00","1847-11-21T00:00:00","1888-11-17T00:00:00"
1393,"Paul","Altwegg","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1945-12-04T00:00:00","1951-12-02T00:00:00","1935-12-02T00:00:00","1935-12-02T00:00:00","1951-12-02T00:00:00","1884-03-09T00:00:00","1952-07-03T00:00:00"
1394,"Antoine-Joseph","Amacker","m","Centre","Libéral","Lib*","1857-07-06T00:00:00","1859-04-01T00:00:00","1857-06-08T00:00:00","1857-06-09T00:00:00","1859-05-01T00:00:00","1794-07-03T00:00:00","1862-03-17T00:00:00"
1395,"Johann","Amberg","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1873-11-03T00:00:00","1878-12-01T00:00:00","1873-11-03T00:00:00","1873-11-03T00:00:00","1878-12-01T00:00:00","1830-01-17T00:00:00","1887-08-18T00:00:00"
1396,"Johann Ulrich","Ambühl","m","Centre","Libéral","Lib*","1869-12-06T00:00:00","1872-07-28T00:00:00","1869-12-06T00:00:00","1869-12-06T00:00:00","1872-07-28T00:00:00","1819-01-28T00:00:00","1872-07-28T00:00:00"
1397,"Johann Heinrich","Ammann","m","Centre","Libéral","Lib*","1860-12-03T00:00:00","1863-12-06T00:00:00","1860-12-03T00:00:00","1860-12-03T00:00:00","1863-12-06T00:00:00","1820-10-10T00:00:00","1867-08-17T00:00:00"
1398,"Johann-Kaspar","Ammann","m","Gauche","Libéral","Lib*","1849-04-16T00:00:00","1849-08-01T00:00:00","1849-04-16T00:00:00","1849-04-16T00:00:00","1849-08-01T00:00:00","1803-11-12T00:00:00","1870-11-06T00:00:00"
