,PersonNumber,FirstName,LastName,GenderAsString,ParlGroupName,PartyName,PartyAbbreviation,DateJoining,DateLeaving,DateElection,DateOath,DateResignation,DateOfBirth,DateOfDeath
305,332,Rudolf,Imhof,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1940-06-18T00:00:00,2014-10-06T00:00:00
307,334,Erwin,Jutzet,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-02-28T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-03-04T00:00:00,1951-05-07T00:00:00,
308,335,Peter,Kofmel,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1956-09-16T00:00:00,
309,336,Josef,Kunz,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1945-06-01T00:00:00,
310,337,François,Lachat,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1942-08-02T00:00:00,
311,338,Hubert,Lauper,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1944-02-28T00:00:00,
314,341,Liliane,Maury Pasquier,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-11-08T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1956-12-16T00:00:00,
315,342,Erich,Müller,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1938-04-01T00:00:00,2019-02-28T00:00:00
316,343,Vreni,Müller-Hemmi,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1951-03-29T00:00:00,
317,344,Fritz Abraham,Oehrli,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1941-07-10T00:00:00,2019-04-02T00:00:00
318,345,Fulvio,Pelli,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2014-03-06T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-03-06T00:00:00,1951-01-26T00:00:00,
319,346,Johannes,Randegger,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2006-12-08T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-12-08T00:00:00,1941-03-22T00:00:00,
321,348,Rudolf,Rechsteiner,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2010-05-30T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-05-30T00:00:00,1958-10-27T00:00:00,
322,349,Jean-Claude,Rennwald,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1953-04-27T00:00:00,
323,350,Maria,Bernasconi,f,Groupe socialiste,Parti socialiste suisse,PSS,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1955-09-14T00:00:00,
324,351,Marcel,Sandoz,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1943-05-14T00:00:00,
325,352,Ulrich,Schlüer,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2009-03-02T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2009-03-02T00:00:00,2011-12-04T00:00:00,1944-10-17T00:00:00,
326,353,Odilo,Schmid,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1945-01-11T00:00:00,
327,354,Silva,Semadeni,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1952-02-08T00:00:00,
329,356,Christian,Speck,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2005-05-05T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2005-05-05T00:00:00,1937-12-22T00:00:00,2005-05-05T00:00:00
331,358,Doris,Stump,f,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1950-02-06T00:00:00,
332,359,Franziska,Teuscher,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2011-12-05T00:00:00,2013-03-03T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2013-03-03T00:00:00,1958-03-07T00:00:00,
333,360,Anita,Thanei,f,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1954-12-31T00:00:00,
334,361,Georges,Theiler,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1949-05-20T00:00:00,
335,362,Dorle,Vallender,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1941-11-01T00:00:00,
336,363,Ruth-Gaby,Vermot-Mangold,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1941-03-11T00:00:00,
339,366,Peter,Weigelt,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2006-09-15T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-09-15T00:00:00,1956-02-19T00:00:00,
340,367,Hans Werner,Widrig,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1941-04-10T00:00:00,
341,368,Rosmarie,Zapfl,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2006-12-14T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-12-14T00:00:00,1939-06-16T00:00:00,
343,370,Erika,Forster-Vannini,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-11-25T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1944-02-27T00:00:00,
344,371,Pierre-Alain,Gentil,m,Groupe socialiste,Parti socialiste suisse,PSS,2005-11-19T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1952-07-12T00:00:00,2008-09-23T00:00:00
345,372,Hansheiri,Inderkum,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1947-06-09T00:00:00,
346,373,Helen,Leumann,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1943-11-07T00:00:00,2014-12-31T00:00:00
347,374,Dick,Marty,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-11-18T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1945-01-07T00:00:00,
348,375,Pierre,Paupe,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1937-07-24T00:00:00,2016-03-09T00:00:00
351,378,Françoise,Saudan,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1939-11-09T00:00:00,
352,379,Franz,Wicki,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1939-01-28T00:00:00,
354,385,Walter,Bosshard,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1996-03-04T00:00:00,2003-11-30T00:00:00,1996-03-04T00:00:00,1996-03-04T00:00:00,2003-11-30T00:00:00,1950-02-03T00:00:00,
355,390,Hans,Widmer,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2010-05-30T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-05-30T00:00:00,1941-09-09T00:00:00,
357,395,Hildegard,Fässler-Osterwalder,f,Groupe socialiste,Parti socialiste suisse,PSS,2011-12-05T00:00:00,2013-03-03T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2013-03-03T00:00:00,1951-06-22T00:00:00,
358,396,Christian,Waber,m,Non inscrit,Union Démocratique Féderale,UDF,2007-12-19T00:00:00,2009-08-31T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2009-08-31T00:00:00,1948-05-07T00:00:00,
360,398,Hans-Rudolf,Merz,m,,PLR.Les Libéraux-Radicaux,PLR,2010-01-01T00:00:00,2010-10-31T00:00:00,2003-12-10T00:00:00,2010-01-01T00:00:00,2010-10-31T00:00:00,1942-11-10T00:00:00,
361,399,Alex,Heim,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1997-09-29T00:00:00,2003-11-30T00:00:00,1997-09-29T00:00:00,1997-09-29T00:00:00,2003-11-30T00:00:00,1951-04-21T00:00:00,
363,403,Hans,Hofmann,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1939-03-03T00:00:00,
364,404,Caspar,Baader,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2012-01-22T00:00:00,2014-07-31T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-07-31T00:00:00,1953-10-01T00:00:00,
365,405,Jacqueline,Fehr,f,Groupe socialiste,Parti socialiste suisse,PSS,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1963-06-01T00:00:00,
366,406,Charles-Albert,Antille,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1998-04-27T00:00:00,2003-11-30T00:00:00,1998-04-27T00:00:00,1998-04-27T00:00:00,2003-11-30T00:00:00,1944-10-18T00:00:00,
367,407,Ruth,Genner,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2007-12-03T00:00:00,2008-09-07T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2008-09-14T00:00:00,1956-01-13T00:00:00,
368,408,This,Jenny,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2014-02-13T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-02-13T00:00:00,1952-05-04T00:00:00,2014-11-15T00:00:00
369,409,Hans,Hess,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1945-05-04T00:00:00,
371,419,Serge,Beck,m,Groupe libéral-radical,Parti libéral démocrate,PLD,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1955-05-20T00:00:00,
375,425,Rolf,Schweiger,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-03-05T00:00:00,2011-12-04T00:00:00,2006-10-29T00:00:00,2007-03-05T00:00:00,2011-12-04T00:00:00,1945-01-09T00:00:00,
378,428,Adolf,Ogi,m,,Union Démocratique du Centre,UDC,2000-01-01T00:00:00,2000-12-31T00:00:00,1987-12-09T00:00:00,2000-01-01T00:00:00,2000-12-31T00:00:00,1942-07-18T00:00:00,
379,429,Kaspar,Villiger,m,,PLR.Les Libéraux-Radicaux,PLR,2003-01-01T00:00:00,2003-12-10T00:00:00,1989-02-01T00:00:00,2003-01-01T00:00:00,2003-12-10T00:00:00,1941-02-05T00:00:00,
380,430,Ruth,Dreifuss,f,,Parti socialiste suisse,PSS,2000-01-01T00:00:00,2002-12-31T00:00:00,1993-03-10T00:00:00,2000-01-01T00:00:00,2002-12-31T00:00:00,1940-01-09T00:00:00,
384,435,Thérèse,Meyer-Kaelin,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1948-05-17T00:00:00,
386,440,Peter,Jossen,m,Groupe socialiste,Parti socialiste suisse,PSS,1999-06-14T00:00:00,2003-11-30T00:00:00,1999-06-14T00:00:00,1999-06-14T00:00:00,2003-11-30T00:00:00,1955-01-26T00:00:00,
387,449,Ruedi,Aeschbacher,m,Le Groupe du Centre. Le Centre. PEV.,Parti évangélique suisse,PEV,2007-12-03T00:00:00,2010-05-30T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-05-30T00:00:00,1941-09-15T00:00:00,
388,450,Elvira,Bader,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1955-03-04T00:00:00,
389,451,Madeleine,Bernasconi,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1939-09-15T00:00:00,
390,452,Elmar,Bigger,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1949-10-05T00:00:00,
391,453,André,Bugnon,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1947-09-13T00:00:00,
392,454,Liliane,Chappuis,f,Groupe socialiste,Parti socialiste suisse,PSS,2007-03-05T00:00:00,2007-06-25T00:00:00,2003-10-19T00:00:00,2007-03-05T00:00:00,2007-06-25T00:00:00,1955-06-27T00:00:00,2007-06-25T00:00:00
393,455,Maurice,Chevrier,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2010-02-28T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-02-28T00:00:00,1961-03-28T00:00:00,
394,456,Jean-Michel,Cina,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2005-05-20T00:00:00,2005-05-25T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2005-05-30T00:00:00,1963-07-02T00:00:00,
395,457,Fernand,Cuche,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2003-12-01T00:00:00,2005-05-25T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2005-05-30T00:00:00,1946-07-26T00:00:00,
396,458,Walter,Decurtins,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1938-03-03T00:00:00,
397,459,Marlyse,Dormond Béguelin,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1949-10-31T00:00:00,
398,460,Jean Henri,Dunant,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2010-11-06T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2010-11-06T00:00:00,1934-11-12T00:00:00,2015-10-19T00:00:00
399,461,Heinrich,Estermann,m,Le Groupe du Centre. Le Centre. PEV.,,,1999-12-06T00:00:00,2003-03-22T00:00:00,1999-10-24T00:00:00,1999-12-06T00:00:00,2003-03-22T00:00:00,1948-10-03T00:00:00,2003-03-22T00:00:00
400,462,Jean,Fattebert,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1942-02-07T00:00:00,
401,463,Charles,Favre,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1957-08-18T00:00:00,
402,464,Hans-Jürg,Fehr,m,Groupe socialiste,Parti socialiste suisse,PSS,2011-12-05T00:00:00,2013-09-08T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2013-09-08T00:00:00,1948-08-07T00:00:00,
403,465,Mario,Fehr,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1958-09-13T00:00:00,
404,466,Anita,Fetz,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1957-03-19T00:00:00,
405,467,Remo Giosué,Galli,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1943-03-15T00:00:00,
406,468,Gabriele,Gendotti,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2000-08-22T00:00:00,1999-10-24T00:00:00,1999-12-06T00:00:00,2000-08-22T00:00:00,1954-10-10T00:00:00,
407,469,Jean-Paul,Glasson,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1949-05-12T00:00:00,
408,470,Walter,Glur,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1943-04-11T00:00:00,
409,471,Felix,Gutzwiller,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2015-11-30T00:00:00,2015-12-07T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2015-12-07T00:00:00,1948-02-22T00:00:00,
410,472,Ursula,Haller Vannini,f,Groupe BD,Parti bourgeois-démocratique suisse,PBD,2011-12-05T00:00:00,2014-11-23T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-11-23T00:00:00,1948-11-04T00:00:00,
411,473,Hansjörg,Hassler,m,Groupe BD,Parti bourgeois-démocratique suisse,PBD,2015-05-04T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1953-09-23T00:00:00,
412,474,Bernhard,Hess,m,Non inscrit,Démocrates Suisses,DS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1966-04-05T00:00:00,
413,475,Walter,Hess,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1949-10-05T00:00:00,
414,476,Urs,Hofmann,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2009-02-28T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2009-02-28T00:00:00,1956-11-27T00:00:00,
415,477,Claude,Janiak,m,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1948-10-30T00:00:00,
416,478,Rudolf,Joder,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1950-06-10T00:00:00,
417,479,Hans,Kaufmann,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2014-05-04T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2014-05-04T00:00:00,1948-06-13T00:00:00,
418,480,Robert,Keller,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1938-11-09T00:00:00,
419,481,Ursula,Koch,f,Groupe socialiste,Parti socialiste suisse,PSS,1999-12-06T00:00:00,2000-05-10T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2000-05-10T00:00:00,1941-07-01T00:00:00,
420,482,Paul,Kurrus,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1947-07-02T00:00:00,
421,483,Maya,Lalive d'Epinay,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1957-06-17T00:00:00,
422,484,Otto,Laubacher,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1943-12-31T00:00:00,
423,485,Hansjakob,Leutenegger,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1944-12-09T00:00:00,
424,487,Susanne,Leutenegger Oberholzer,f,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2018-12-07T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2018-12-07T00:00:00,1948-03-06T00:00:00,
425,488,Doris,Leuthard,f,,Parti démocrate-chrétien suisse,PDC,2018-01-01T00:00:00,2018-12-31T00:00:00,2006-06-14T00:00:00,2018-01-01T00:00:00,2018-12-31T00:00:00,1963-04-10T00:00:00,
426,489,Arthur,Loepfe,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1942-12-25T00:00:00,
427,490,Ruedi,Lustenberger,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1950-04-02T00:00:00,
428,491,Pierre-Yves,Maillard,m,Groupe socialiste,Parti socialiste suisse,PSS,2019-12-02T00:00:00,,2019-10-20T00:00:00,2019-12-02T00:00:00,,1968-03-16T00:00:00,
429,492,Fernand,Mariétan,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1952-02-12T00:00:00,
430,493,Hans Ulrich,Mathys,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1946-06-03T00:00:00,
431,494,Lucrezia,Meier-Schatz,f,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1952-01-04T00:00:00,
432,495,Anne-Catherine,Menétrey-Savary,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2005-11-19T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1938-01-29T00:00:00,
433,496,Werner,Messmer,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1945-10-25T00:00:00,
434,497,Patrice,Mugny,m,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,1999-12-06T00:00:00,2003-06-01T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-06-02T00:00:00,1953-02-13T00:00:00,
435,498,Jacques,Neirynck,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1931-08-17T00:00:00,
436,499,Fabio,Pedrina,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1954-11-27T00:00:00,
